<Phenotype>							
taxa	factor	data	data	data	covariate	covariate	covariate
Taxa	location	EarHT	dpoll	EarDia	Q1	Q2	Q3
33-16	A	64.75	64.5	NaN	0.014	0.972	0.014
38-11	A	92.25	68.5	37.897	0.003	0.993	0.004
4226	A	65.5	59.5	32.21933	0.071	0.917	0.012
4722	A	81.13	71.5	32.421	0.035	0.854	0.111
A188	A	27.5	62	31.419	0.013	0.982	0.005
A214N	A	65	69	32.006	0.762	0.017	0.221
A239	A	47.88	61	36.064	0.035	0.963	0.002
A272	A	35.63	70	NaN	0.019	0.122	0.859
A441-5	A	53.5	67.5	35.008	0.005	0.531	0.464
A554	A	38.5	66	33.41775	0.019	0.979	0.002
A556	A	28	65	31.929	0.004	0.994	0.002
A6	A	109.5	80.5	31.5175	0.003	0.03	0.967
A619	A	36	61	40.63	0.009	0.99	0.001
A632	A	60	61	35.953	0.993	0.004	0.003
A634	A	54	59	35.601	0.897	0.1	0.003
A635	A	37	64	35.3005	0.825	0.171	0.004
A654	A	39	64	NaN	0.083	0.915	0.002
A659	A	46.5	58.5	38.84617	0.006	0.991	0.003
A661	A	51.5	59	39.323	0.111	0.852	0.037
A679	A	65	66	42.471	0.862	0.127	0.011
A680	A	68	65.5	41.152	0.993	0.004	0.003
A682	A	47	57.5	35.928	0.002	0.997	0.001
AB28A	A	73.5	78	32.504	0.002	0.776	0.222
B10	A	74	69	36.561	0.429	0.57	0.001
B103	A	37	57.5	NaN	0.163	0.829	0.008
B104	A	56.25	64.5	44.773	0.694	0.305	0.001
B105	A	67.5	68	39.857	0.397	0.566	0.037
B109	A	67	64	38.951	0.995	0.003	0.002
B115	A	68	65.5	37.05975	0.061	0.847	0.092
B14A	A	57	63.5	38.067	0.998	0.001	0.001
B164	A	66	58	35.562	0.233	0.756	0.011
B2	A	39.5	70	NaN	0.007	0.988	0.005
B37	A	72.5	65.5	36.4475	0.997	0.002	0.001
B46	A	42	69	40.699	0.214	0.784	0.002
B52	A	72.5	70	NaN	0.012	0.985	0.003
B57	A	41	65	37.87475	0.002	0.996	0.002
B64	A	74.5	68.5	37.221	0.988	0.002	0.01
B68	A	65	71.5	38.889	0.998	0.001	0.001
B73	A	83.25	70	41.633	0.999	0.001	1.10E-16
B73HTRHM	A	73	67	42.956	0.999	0.001	1.10E-16
B75	A	56	62	38.2075	0.005	0.993	0.002
B76	A	53	61.5	35.33575	0.912	0.087	0.001
B77	A	50	65	39.028	0.083	0.915	0.002
B79	A	66.5	66.5	41.61	0.305	0.693	0.002
B84	A	72	67.5	37.622	0.996	0.003	0.001
B97	A	53	60.5	37.665	0.016	0.981	0.003
C103	A	52.5	66.5	34.91575	0.002	0.997	0.001
C123	A	32	62.5	NaN	0.047	0.952	0.001
C49	A	22	55.5	32.93267	0.143	0.841	0.016
C49A	A	22.5	57	28.544	0.127	0.869	0.004
CH701-30	A	61	60	33.5835	0.004	0.993	0.003
CH9	A	41.5	67.5	38.90333	0.003	0.992	0.005
CI187-2	A	62.63	70.5	34.085	0.006	0.992	0.002
CI21E	A	64	68	40.991	0.119	0.866	0.015
CI28A	A	72.5	66.5	37.328	0.004	0.749	0.247
CI31A	A	74	73	NaN	0.002	0.994	0.004
CI3A	A	66.5	70	44.051	0.083	0.905	0.012
CI44	A	57	73	40.172	0.011	0.988	0.001
CI64	A	64.5	70.5	41.403	0.012	0.986	0.002
CI66	A	47	75	32.5045	0.011	0.935	0.054
CI7	A	84.67	68.5	37.889	0.004	0.994	0.002
CI90C	A	63.5	67.5	33.92475	0.003	0.737	0.26
CI91B	A	49	66.5	35.53867	0.002	0.997	0.001
CM105	A	31.5	65.5	36.218	0.995	0.004	0.001
CM174	A	34.5	64	32.9705	0.997	0.002	0.001
CM37	A	24	57.5	25.74375	0.013	0.969	0.018
CM7	A	28	61.5	31.667	0.059	0.939	0.002
CML10	A	110	77	33.33867	0.002	0.002	0.996
CML103	A	88.5	69	42.029	0.003	0.005	0.992
CML108	A	55.5	71.5	40.739	0.002	0.099	0.899
CML11	A	97.25	80.5	33.48683	0.003	0.002	0.995
CML14	A	80	82	30.863	0.001	0.001	0.998
CML154Q	A	61	72.5	42.933	0.002	0.005	0.993
CML157Q	A	111.5	71.5	40.303	0.004	0.018	0.978
CML158Q	A	74	74.5	41.6995	0.01	0.018	0.972
CML218	A	62	69	35.57	0.01	0.301	0.689
CML220	A	44	63.5	40.216	0.059	0.053	0.888
CML228	A	74	72.5	31.339	0.003	0.002	0.995
CML238	A	57.5	74	42.477	0.001	0.004	0.995
CML247	A	68.5	78	37.79683	0.003	0.006	0.991
CML254	A	70	NaN	NaN	0.001	0.006	0.993
CML258	A	133	81	37.02083	0.001	0.002	0.997
CML261	A	104.17	77	37.46267	0.016	0.004	0.98
CML264	A	60.5	82	NaN	0.002	0.001	0.997
CML277	A	82.5	75	39.036	0.001	0.004	0.995
CML281	A	73.5	81	NaN	0.023	0.046	0.931
CML287	A	95	75	37.24	0.004	0.022	0.974
CML311	A	89.25	NaN	NaN	0.004	0.114	0.882
CML314	A	81.5	69	38.929	0.003	0.002	0.995
CML321	A	82	79.5	39.339	0.027	0.008	0.965
CML322	A	66.75	68	40.0235	0.01	0.005	0.985
CML323	A	63	70.5	39.081	0.007	0.34	0.653
CML328	A	74.5	65	34.876	0.002	0.357	0.641
CML331	A	59	77	NaN	0.002	0.003	0.995
CML332	A	66.5	70.5	37.182	0.002	0.003	0.995
CML333	A	97.5	69	36.581	0.013	0.029	0.958
CML341	A	94.63	73	42.116	0.002	0.004	0.994
CML349	A	55.25	68.5	NaN	0.006	0.165	0.829
CML38	A	82.5	75.5	32.36083	0.001	0.002	0.997
CML45	A	45	82.5	NaN	0.001	0.002	0.997
CML5	A	94.25	78	NaN	0.001	0.034	0.965
CML52	A	104.33	81	32.69017	0.002	0.01	0.988
CML69	A	76	73.5	37.723	0.006	0.028	0.966
CML77	A	63	68.5	43.716	0.005	0.302	0.693
CML91	A	64.5	69.5	39.435	0.015	0.218	0.767
CML92	A	68	71.5	40.503	0.096	0.275	0.629
CMV3	A	32.5	59.5	NaN	0.147	0.847	0.006
CO106	A	34.5	55	NaN	0.016	0.973	0.011
CO109	A	26.5	61.5	NaN	0.013	0.928	0.059
CO125	A	32.13	60	31.788	0.021	0.967	0.012
CO255	A	38	61.5	32.06183	0.009	0.647	0.344
D940Y	A	74	71.5	34.624	0.004	0.614	0.382
DE1	A	64.5	69	44.774	0.018	0.98	0.002
DE2	A	57.5	65.5	46.353	0.02	0.979	0.001
DE3	A	70	65	44.496	0.24	0.734	0.026
DE811	A	80	72.5	35.45125	0.779	0.218	0.003
E2558W	A	59.5	67.5	37.38	0.006	0.923	0.071
EP1	A	37.08	62	NaN	0.001	0.461	0.538
F2	A	34	63.5	27.147	0.002	0.534	0.464
F2834T	A	40	62	33.28333	0.026	0.421	0.553
F44	A	94	75	36.49875	0.01	0.62	0.37
F6	A	101.5	77	NaN	0.005	0.745	0.25
F7	A	27.5	58	27.689	0.07	0.608	0.322
GA209	A	76.33	74.5	34.958	0.004	0.979	0.017
GT112	A	136	78.5	NaN	0.008	0.839	0.153
H100	A	56	64.5	41.0735	0.969	0.029	0.002
H105W	A	44.5	61.5	40.51	0.753	0.209	0.038
H49	A	58	61.5	39.416	0.002	0.995	0.003
H84	A	48	64	41.838	0.714	0.281	0.005
H91	A	60	64.5	39.201	0.997	0.002	0.001
H95	A	55	65.5	38.834	0.001	0.898	0.101
H99	A	31	68.5	34.677	0.001	0.997	0.002
HI27	A	93.5	71	35.425	0.207	0.019	0.774
HY	A	56.5	64.5	34.823	0.079	0.898	0.023
I137TN	A	56.5	69	NaN	0.002	0.539	0.459
I205	A	55	66	NaN	0.23	0.767	0.003
K148	A	42	65.5	33.984	0.087	0.886	0.027
K4	A	70	69	36.81433	0.11	0.873	0.017
K55	A	43	67.5	39.8425	0.01	0.98	0.01
K64	A	69.25	67.5	42.828	0.033	0.965	0.002
KI11	A	63	74.5	40.465	0.003	0.017	0.98
KI14	A	95.5	78	29.192	0.003	0.003	0.994
KI2007	A	61	67.5	37.622	0.001	0.018	0.981
KI2021	A	107	75	40.14633	0.005	0.002	0.993
KI21	A	87.5	70.5	40.063	0.004	0.005	0.991
KI3	A	57.75	72	34.7015	0.001	0.393	0.606
KI43	A	59	76	30.326	0.001	0.002	0.997
KI44	A	55	71	33.19267	0.029	0.048	0.923
KY21	A	76.5	70.5	38.93467	0.008	0.859	0.133
KY226	A	64	72.5	37.37125	0.011	0.732	0.257
KY228	A	58.38	75.5	NaN	0.134	0.709	0.157
L317	A	98	65.5	34.72825	0.001	0.99	0.009
L578	A	101.5	72.5	39.627	0.007	0.297	0.696
M14	A	35	59.5	35.6355	0.012	0.849	0.139
M162W	A	63.5	74.5	40.095	0.002	0.996	0.002
M37W	A	62.88	70	38.801	0.012	0.404	0.584
MEF156-55-2	A	62.5	NaN	NaN	0.007	0.854	0.139
MO17	A	46	59.5	33.672	0.001	0.998	0.001
MO18W	A	65.5	70.5	39.596	0.011	0.307	0.682
MO1W	A	62	65	42.972	0.004	0.828	0.168
MO24W	A	101.5	67.5	45.51175	0.108	0.727	0.165
MO44	A	46	57.5	38.022	0.002	0.996	0.002
MO45	A	74.33	65.5	35.389	0.252	0.516	0.232
MO46	A	54.5	65	39.526	0.152	0.838	0.01
MO47	A	36.5	59	35.91767	0.18	0.624	0.196
MOG	A	87.88	65	42.585	0.002	0.996	0.002
MP339	A	71.5	71.5	38.333	0.102	0.641	0.257
MS1334	A	54.5	66	30.83556	0.002	0.884	0.114
MS153	A	55	59	42.406	0.063	0.865	0.072
MS71	A	47.5	57	35.358	0.002	0.997	0.001
MT42	A	44.5	59	29.971	0.004	0.765	0.231
N192	A	42.5	57.5	40.355	0.998	0.001	0.001
N28HT	A	57	66.5	41.431	0.551	0.447	0.002
N6	A	45	61	39.82533	0.017	0.98	0.003
N7A	A	54.5	63.5	41.767	0.494	0.503	0.003
NC222	A	84.5	70.5	37.047	0.004	0.874	0.122
NC230	A	57	70	43.833	0.004	0.994	0.002
NC232	A	55	68.5	44.877	0.068	0.839	0.093
NC236	A	58	72.5	36.2865	0.023	0.974	0.003
NC238	A	43	78	38.29429	0.004	0.989	0.007
NC250	A	37	64	36.44	0.941	0.057	0.002
NC258	A	60.5	70	36.866	0.001	0.997	0.002
NC260	A	52.5	63	35.866	0.005	0.992	0.003
NC262	A	25	59	37.31	0.007	0.991	0.002
NC264	A	48	65	38.303	0.015	0.018	0.967
NC268	A	74.38	69.5	32.867	0.998	0.001	0.001
NC290A	A	34	61.5	40.5525	0.015	0.984	0.001
