277																																																																																																																																																																																																																																																																																					
33-16	2	0.181608	0.018732	0	0.153572	0	0.016638	0	0.182018	0.17447	0.017128	0.100754	0	0	0	0	0.137076	0.171132	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25417	0.201782	0	0	0.020492	0	0	0	0	0	0.06626	0	0.026606	0.03545	0	0	0.163064	0.017514	0.082316	0.012628	0	0.053562	0	0.026152	0.0234	0.10543	0.088432	0.231084	1.081668	0	0.109962	0	0	0.214146	0	0.225772	0.118348	0.142416	0.143624	0	0	0	0	0.149886	0	0.04533	0	0	0.011766	0	0	0.007158	0	0	0.19735	0	0	0.052646	0	0	0.137952	0.068802	0	0	0	0	0	0.060792	0	0	0	0.062516	0	0	0	0	0.124844	0.087756	0.015996	0.070854	0	0	0.162296	0.191522	0	0.208602	0.049	0	0.170088	0	0.183446	0	0.024716	0	0	0.004478	0	0.109876	0	0.086796	0.069608	0	0.163308	0.214012	0.206378	0.012096	0.163742	0.061768	0.079224	0.174338	0.145106	0	0.197226	0.006462	0	0	0	0	0	0.012064	0.071886	0.102434	0	0.12079	0.07616	0.05474	0	0.070962	0	0.111656	0	0.067056	0.04255	0.03859	0.007976	0	0	0.114014	0.024496	0	0.21712	0	0.002148	0	0	0	0.019824	0	0.051126	0.074166	0	0	0.072314	0	0.237568	0.032072	0.172982	0	0.23095	0	0	0	0	0.118624	0	0	0	0	0	0.102456	0	0	0	0	0.058988	0	0	0.095402	0.228702	0.185408	0	0	0	0	0	0.001798	0.012744	0	0.160358	0.121474	0.060918	0	0	0.011072	0	0	0	0	0	0.099168	0	0	0.163078	0.177494	0.042706	0	0	0	0	0	0.205366	0	0	0.11376	0.091284	0.029344	0.23196	0.228106	0.179778	0.012888	0	0	0	0.032392	0	0.0686	0	0.096182	0.098998	0.087564	0.212864	0.173192	0	0.148752	0.242034	0.082812	0	0.02578	0.096546	0	0.098056	0	0	0.32998	0.029728	0.116178
38-11	0.181608	2	0	0.111956	0	0	0	0	0	0.026264	0.133522	0	0.047162	0.084982	0	0	0.096034	0.01744	0.050636	0	0	0	0	0.545408	0	0	0	0	0	0	0	0.07692	0.001468	0.275284	0	0.24105	0	0	0	0	0	0.161174	0.30775	0	0	0.010494	0	0.026718	0	0	0	0.100612	0	0.193052	0.188172	0	0	0.074276	0.075316	0.204216	0	0.150752	0	0	0	0	0	0	0.044168	0.049972	0	0	0.005212	0	0	0	0	0	0	0	0.02944	0	0	0	0	0	0	0	0.026068	0.067912	0	0	0.019804	0	0	0	0	0.121234	0	0.158254	0.017868	0	0	0	0.027522	0	0	0.195466	0.035188	0.185792	0.22484	0.278198	0	0.00567	0	0	0	0.05752	0	0	0	0.09192	0	0.077476	0	0.099704	0	0.018816	0	0.057536	0	0.017066	0.163868	0.204694	0	0.04373	0.056962	0.054894	0.044156	0.074324	0	0	0	0.048796	0.097296	0	0	0	0	0	0	0	0	0.115	0.071814	0.06251	0	0.074812	0.094794	0	0.051916	0	0	0	0	0.415482	0.245184	0.275822	0.285452	0.037206	0	0.216412	0	0	0.054846	0	0.210384	0	0	0	0.008148	0	0	0.038084	0.296306	0	0.314632	0.09284	0	0.062116	0.151466	0	0	0	0	0	0	0.150726	0.014766	0	0	0	0.012638	0	0	0.038506	0	0	0	0.096724	0.066768	0	0	0	0	0	0	0	0.070872	0	0	0	0.120826	0	0.140468	0	0	0	0.49216	0.138836	0.076956	0.080604	0	0.103806	0.679758	0.106	0	0	0	0.195942	0.026026	0	0	0.097702	0.179046	0.0705	0.056592	0	0	0	0	0	0.01555	0	0.018252	0	0.012236	0	0.06293	0	0	0	0.027264	0.11665	0	0	0	0.507044	0.216318	0	0	0	0.052824	0.024908	0	0.017014	0.142104
4226	0.018732	0	2	0	0	0	0	0	0	0.061816	0.104968	0	0.021348	0	0	0	0	0.16817	0.03033	0	0	0	0.060356	0.054818	0.043418	0	0	0.127514	0.091812	0.085216	0	0.112012	0.091854	0	0.048686	0.009518	0.19644	0	0	0	0	0.007402	0	0.274672	0	0	0.075126	0.138492	0.030884	0.07928	0	0.07042	0.100058	0.004636	0	0.17075	0.038158	0.079264	0	0.149154	0.02355	0.028226	0	0	0.111712	0	0	0.02249	0	0	0	0.017068	0	0.08258	0	0	0.184726	0.06697	0.11944	0	0.068732	0	0.103614	0	0	0	0	0	0	0.207688	0	0	0	0	0.018008	0	0.04798	0	0	0	0	0	0.071076	0	0	0	0.167368	0	0.06539	0.12163	0	0	0.162824	0.056428	0	0.212582	0	0	0.043736	0.062576	0.041762	0	0.069586	0	0	0	0	0	0.007468	0	0.038788	0.264148	0.04633	0	0.147518	0.020942	0	0	0.166762	0	0	0.007056	0.019808	0	0.073748	0	0.229306	0.006282	0	0	0	0	0.07534	0	0.116422	0.266438	0	0	0.119878	0.057008	0.199254	0	0.16636	0.248522	0.304706	0.206544	0	0.051504	0	0.230912	0.143752	0.233694	0	0.15651	0.0617	0.091314	0.301986	0.216022	0.188644	0	0.040682	0.159792	0	0	0	0.101666	0.242396	0.13768	0	0.184462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085814	0	0	0	0	0.112226	0	0	0	0	0	0	0	0.095918	0.071334	0.118148	0	0	0.15564	0	0.046018	0	0.114336	0.152044	0.203336	0.10705	0.020924	0	0.067636	0	0.175272	0.058782	0.026234	0	0	0	0	0.007412	0	0.111616	0.052144	0	0	0.106474	0	8.84E-04	0	0	0.177562	0.150028	0.209396	0	0	0	0	0	0.05182	0	0.011318	0.078688	0	0	0	0	0.201174	0.178862	0.087572	0	0	0.106822	1.30E-04	0.190362
4722	0	0.111956	0	2	0	0	0	0	0	0.052342	0	0.043636	0.10183	0	0	0	0.019972	0	0	0.241276	0.107748	0.006062	0	0.191206	0.00841	0.118382	0.066206	0.046734	0	0.003436	0	0	0.222052	0.05963	0.136266	0.017708	0.118738	0	0	0.001368	0	0.118	0.122594	0	0.172318	0.155644	0	0.011958	0.021538	0.019994	0.100632	0	0.164856	0	0.14221	0.13346	0	0	0	0	0.269372	0	0	0	0.166224	0	0	0	0	0	0	0	0	0.007768	0	0	0	0.186228	0	0.084596	0.050092	0	0	0	0	0.157654	0	0	0	0	0.04325	0	0	0	0	0	0.024768	0	0	0	0	0	0.121066	0	0	0.043514	0.111288	0.1739	0.110682	0.09889	0.210338	0	0	0.115406	0	0	0.20908	0.168122	0.200856	0	0.114394	0	0.194714	0	0	0.122538	0.01243	0	0.864808	0	0	0	0.045528	0.171718	0	0.431598	1.1371	0.992414	0.068502	0.332094	0.111826	0	0	0	0	0	0	0	0	0	0	0	0	0.003272	0	9.52E-04	0	0.104654	0	0	0.176296	0	0	0.096118	0.246208	0	0.083238	0	0	0.249544	0.123584	0	0	0	0.18821	0	0.048934	0.06359	0.018428	0.006154	0	0	0.054798	0.010772	0.052966	0.011562	0	0.01983	0.104506	0.012848	0.137694	0	0	0	0	0	0	0.046238	0.17149	0.065232	0.012378	0.03131	0.117446	0.089686	0.02853	0.060814	0	0	0	0	0.027718	0	0	0	0	0	0	0	0	0.034156	0	0.190028	0.054284	0	0	0	0.012716	0.002124	0	0.095444	0.083694	0.122866	0	0	0.0156	0	0	0	0	0	1.13194	0.053092	0.160362	0.03358	0	0.583018	0.362728	0	0.03825	0	0	0.057616	0.013358	0	0	0.079174	0	0	0.110328	0	0.174314	0.029198	0.072252	0	0	0	0.106268	0	0.010554	0	0	0.054042	0	0.014014	0	0.11968	0
A188	0.153572	0	0	0	2	0.023138	0.007644	0	0	0	0.16453	0	0	0.073276	0	0	0	0.171534	0.10142	0.159458	0.038742	0	0	0.155946	0	0.128448	0	0.169526	0	0.04594	0.023222	0.098992	0.027262	0	0	0.106048	0.11219	0	0.00399	0	0	0	0	0.180628	0	0	0.06679	0.007564	0.039504	0.145628	0.053372	0	0.013052	0.077212	0	0.015458	0.012472	0	0	0	0	0.0247	0	0.049956	0.276554	0.212652	0	0	0	0	0.02152	0	0	0	0	0	0	0	0	0	0	0	0	0.00384	0.006632	0	0.005154	0	0	0	0	0	0	0.037262	0.039582	0	0	0.052954	0	0	0	0	0	0.11772	0	0.078742	0	0.116556	0.194752	0	0.026862	0.081844	0	0.031228	0.057002	0	0.24124	0	0	0.106382	0	0.010422	0.12883	0.062072	0	0	0.041988	0	0.097084	0.016766	0	0.08766	0.104612	0.112698	0.120072	0.053448	0.021662	0.013216	0.280902	0.297694	0.158876	0.076812	0.215704	0.057616	0	0	0	0	0	0	0.167104	0.005262	0.015754	0	0.160202	0	0	0	0	0.039082	0.244762	0	0	0.09819	0	0.0511	0	0	0.029852	0	0.125702	0.109498	0.291626	0.113578	0.22642	0	0	0.18029	0	0.070744	0.017448	0	0.209676	0	0	0	0.009746	0	0.152454	0	0.02405	0	0	0	0	0	0	0.095632	0.007442	0	0.209532	0.166438	0	0	0	9.90E-04	0	0	0	0	0.063086	0	0	0	0	0.032932	0	0	0	0	0	0.037194	0	0.01221	0	0	0.013848	0	0.004076	0.262864	0.256914	0.02107	0.110474	0	0.04727	0.246268	0.143314	0.118106	0	0.059144	0.0312	0	0.037854	0	0	0.196834	0.235316	0.085216	0	0.050858	0.00795	0	0	0	0.040868	0.03423	0	0	0.044368	0.064412	0	0.035146	0.147344	0.024776	0	0.10877	0	0.016588	0	0.207162	0.038878	0	0	0	0.103072	0.040668	0
A214N	0	0	0	0	0.023138	2	0.080334	0	0	0.02245	0	0	0	0.872708	0.779716	0.734314	0.55145	0	0.11457	0.028508	0	0.256274	0	0	0.318232	0.3495	0.255582	0.051332	0.380924	0	1.155624	0	0.121708	0.037516	0.286554	0	0	0.920306	1.309546	0.261994	0.28949	0.04056	0.0163	0	0.053528	0.287774	0.221778	0	0.015552	0	0.104606	0	0	0.016026	0	0	0.202916	0	0	0	0.008646	0.103422	0.6736	0.800628	0.03262	0.082928	0	0	0	0	0	0	0	0.068278	0	0	0	0	0	0	0	0	0	0.009764	0	0	0	0	0	0.03608	0	0	0	4.26E-04	0.015034	0	0.02243	0	0	0	0	0	0.08419	0	0.006882	0	0	0.0454	0.013408	0	0	0	0.56286	0	0.089324	0	0	0	0.052438	0	0	0.642112	0	0.001412	1.024878	0	0	0.390112	0	0	0	9.20E-05	0	0	0	0	0	0	0	0	0	0	0	0.022354	0	0	0	0	0.010596	0	0.107368	0	0	0	0.001008	0	0	0.014924	0	0.003896	0	0	0	0.009296	0	0.102604	4.80E-04	0.049746	0	0	0	0.014036	0.082526	0.043622	0.140888	0.469684	0.15943	0	0.137586	0	0	0.011766	0	0	0	0	0.02957	0	0	0	0.13824	0	0	0	0	0	0	0.005594	0.24554	0.075452	0	0	0.052378	0.285896	0.13966	0	0	0.046364	0	0	0	0	0	0	0.012154	0	0	0	0.046302	0.03255	0	0	0.100284	0	0	0	0	0.061952	0.115914	0.12871	0	0	0	0	0	0.026164	0.047706	0.025362	0.210738	0.029404	0	0	0	0.050486	0	0	0	0.018474	0	0	0	0	0	0	0.025284	0	0	0	0	0	0	0	0	0	0	0	0.077682	0.014286	0.14882	0.018176	0.100162	0	0.018906	0.07223	0	0	0
A239	0.016638	0	0	0	0.007644	0.080334	2	0.18929	0	0	0.190154	0.057004	0.005922	0	0	0	0	0.156098	0.361832	0.127336	0	0.062074	0.026212	0	0.224772	0.236168	0.004378	0	0.013488	0.078776	0.024368	0.033166	0	0.034818	0.352168	0.058412	0	0.070328	0	0	0.035562	0.182752	0.085768	0	0.245304	0.02141	0.183398	0	0	0.123614	0.065942	0.06137	0.19484	0	0	0	0	0.096642	0.019548	0.281714	0	0	0	0.014614	0	0	0	0	0.01513	0	0	0	0	0	0	0	0	0	0	0.037448	0.110848	0	0	0.0753	0	0	0	0	0.017994	0	0	0.116906	0.042654	0.066062	0.052864	0.110152	0	0	0.108712	0.054484	0	0.030222	0	0.12857	0.084326	0	0	0	0	0	0	0	0.059554	0.034592	0	0	0	0.128718	0.094728	0.027176	0	0	0.035772	0.013184	0	0	0.124068	0	0.058116	0	0.085774	0.042028	0	0	0.04467	0	0	0.016238	0	0	0.065218	0.005854	0	0.14906	0.06319	0	0.063006	0.134624	0.070624	0	0.089034	0.15441	0.14818	0	0	0.024158	0	0	0	0	0.011408	0	0	0.01088	0	0.091866	0	0.020904	0.014184	0.060104	0	0	0	0.294278	0.141794	0.026038	0.185456	0.123158	0	0	0	0.061596	0.194988	0.053354	0	0	0.072202	0	0	0	0	0.101324	0.07179	0	0	0.040852	0	0	0.05386	0.005326	0	0	0	0.038288	0.019192	0	0.044966	0.077204	0	0	0	0.074172	0	0	0.04521	0	0	0	0	0	0	0	0	0	0.046136	0.014028	0	0	0	0.205072	0	0	0.081956	0.049156	0.070654	0	0.061184	0.051762	0	0.28391	0	0	0	0	0.092808	0.205402	0.133472	0.037482	0.115734	0.057012	0	0.023188	0	0.011176	0	0.040742	0	0.015872	0	0.034796	0	0	0.01051	0.02479	0.033252	0	0.065354	0.113488	0	0	0	0.18065	0.292206	0.055304	0.05938	0.13595	0.022994
A272	0	0	0	0	0	0	0.18929	2	0.13977	0.10571	0.102228	0.00799	0	0	0	0	0	0.065174	0	0	0.06087	0.012804	0.026928	0.012298	0.035434	0	0	0.003258	0.00216	0	0	0.083774	0	0	0	0.094604	0	0	0	0	0.004472	0	0	0.060784	0	0	0	0	0	0	0	0.015522	0	0	0	0	0	0	0.078802	0	0	0.033872	0	0	0.006532	0	0.042218	0	0.238834	0.026798	0.208	0.080282	0.202186	0.233032	0	0.043138	0	0	0	0.116356	0	0.027634	0.058318	0.287046	0.261624	0	0.188516	0.036404	0.001628	0	0.03421	0.13741	0.12496	0.057902	0.075932	0.100258	0.071184	0.20865	0.230892	0.00734	0	0.19725	0	0	0.1233	0.046512	0.04943	0.0307	0.262276	0	0	0	0	0	0.268796	0.1989	0	0	0.308734	0	0	0	0	0	0	0	0.072236	0.192806	0	0	0.088846	0.063308	0.06055	0	0.134962	0.02165	0	0	0.197258	0.134842	0	0.01529	0	0.002212	0	0.060346	0	0.196374	0.019834	0.046706	0.210474	0.267474	0.053416	0	0	0	0.020874	0	0	0.135324	0	0.00203	0.135732	0	0	0	0	0	0	0	0	0	0	0.070086	0	0	0	0.02975	0	0.025694	0.144428	0	0	0.094968	0.071816	0	0.040722	0	0.2658	0.009322	0.062216	0.115388	0.09511	0.163806	0.257392	0.043278	0.00469	0.05445	4.10E-04	0.031286	0.145366	0.18978	0.045514	0	0.051958	0.111234	0.231984	0.082012	0.266648	0	0	0.139642	0.210928	0.07608	0.237852	0.071368	0.124186	0.125798	0.005608	0.18604	0.245172	0	0	0.057536	0	0	0	0	0	0.057644	0.065418	0	0	0	0	0	0	0	0.034562	0	0	0	0.04788	0	0	0	0	0.023758	0	0	0	0.03016	0	0.059568	0	0	0.024374	0.018272	0	0	0	0	0	0	0	0	0	0	0	0	0.08077	0.006562	0	0	0.294278	0	0.030178
A441-5	0.182018	0	0	0	0	0	0	0.13977	2	0	0	0.107662	0	0	0	0	0.006642	0.056704	0	0.070688	0	0	0	0	0	0	0	0	0	0.125614	0	0.047656	0.03596	0	0	0.082722	0.004714	0	0	0	0	0	0	0.08039	0	0	0	0	0	0.059128	0	0	0	0	0	0.002738	0	0	0	0.043244	0	0	0	0	0	0.06269	0.11469	0	0.209722	0.126856	0.009098	0.168228	0.036512	0.036776	0.159024	0.05083	0.2543	0.18096	0	0.125712	0.043902	0.142462	0.166	0.152578	0.141482	0.167316	0.223856	0.257556	0.243676	0.132524	0.079246	0.24812	0.259908	0.151314	0	0.114434	0.022514	0.22744	0	0.12694	0.251446	0.039238	0.00772	0.082866	0.01547	0	0	0	0.13605	0	0	0	0	0.26046	0.134962	0.293764	0.053906	0	0	0.10927	0.046928	0	0.062306	0	0	0	0.25168	0.096776	0.052996	0	0.183814	0	0	0.204528	0.001616	0	0.051636	0.088044	0	0	0	0.061214	0.098612	0	0	0.141938	0	0.067626	0.074244	0.268798	0	0.071882	0.051428	0	0.111134	0	0.303238	0.045538	0.09124	0.181092	0	0	0.13494	0.070508	0	0	0	0	0	0	0	0.067708	0.038448	0	0	0	0	0	0.063778	0.049416	0	0.16681	0.071644	0.085794	0	0.012346	0.104786	0.092176	0.291136	0.024096	0	0.107386	0.09177	0.154406	0.256614	0.184486	0.02377	0	0	0	0.082364	0.233036	0	0	0	0	0.106466	0.221596	0.201702	0.05873	0.018992	0.091626	0.145758	0.328088	0.067958	0.016934	0.292702	0.171972	0	0	0	0.026832	0	0	0	0.07091	0	0	0	0	0.094716	0	0	0	0	0	0.001736	0.030512	0	0	0.109252	0.144708	0	0	0.029442	0	0	0	0.094356	0.164774	0.195238	0.12932	0.1128	0.031636	0.078584	0	0.115738	0.217146	0	0.18621	0	0.02523	0.036574	0.1131	0.11812	0.070978	0.03623	0	0.02728	0.115332	0.015938	0	0	0	0.107346	0	0
A554	0.17447	0.026264	0.061816	0.052342	0	0.02245	0	0.10571	0	2	0.081016	0	0	0.049592	0	0.148032	0.212332	0.11879	0.13199	0.061116	0.055022	0.060418	0.063004	0.023542	0.20174	0	0	0.110362	0	0	0.0061	0.050282	0.134852	0.106884	0.194048	0.229418	0.101002	0	0	0.019006	0.054494	0	0.14052	0	0	0.101978	0.07956	0.03203	0	0.007244	0.02876	0.162418	0	0	0.0686	0.023594	0	0	0.054912	0.126974	0	0.055614	0.166784	0.129918	0.024396	0	0.009666	0.099808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01639	0	0	0.077488	0	0.029598	0.152514	0.032738	0.218146	0.145286	0.09202	0.220744	0.015674	0.032566	0	0.034624	0	0.015458	0.01209	0	0.193106	0	0.154318	0.376458	0.115462	0.007068	0	0	0	0	0.002046	0.018388	0	0	0	0.002396	0.116224	0	0	0	0.10877	0	0	0	0.028164	0	0	0	0	0.16052	0	0	0	0.101226	0.145584	0	0.086512	0	0	0	0	0	0.003924	0	0.558172	0.164524	0.139456	0	0	0	0	7.92E-04	0.037762	0	0.038756	0.095414	0.025974	0	0	0.138854	0	0.07533	0.155444	0.04724	0	0.034084	0	0.113844	0	0.041676	0.001736	0.074464	0	0	0	0.037476	0	0	0	0.090802	0	0	0.082826	0	0	0.002102	0.16061	0	0.081406	0.084264	0	0.00463	0.009648	0.024628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14661	0	0	0.209928	0.18951	0.123992	0	0	0	0.049276	0.010854	0.162506	0	0	0	0	0.100488	0	0	0.004076	0	0	0	0	0	0	0	0	0	0.288768	0	0.099526	0.09517	0	0	0	0	0	0.107772	0	0.035464	0	0.174708	0.047392	0.433546	0.637506	0.606332	0.049484
