<Phenotype>
taxa	data	data	data	covariate	covariate	covariate
Taxa	EarHT	dpoll	EarDia	Q1	Q2	Q3
33-16	64.75	64.5	NaN	0.014	0.972	0.014
38-11	92.25	68.5	37.897	0.003	0.993	0.004
4226	65.5	59.5	32.21933	0.071	0.917	0.012
4722	81.13	71.5	32.421	0.035	0.854	0.111
A188	27.5	62.0	31.419	0.013	0.982	0.005
A214N	65.0	69.0	32.006	0.762	0.017	0.221
A239	47.88	61.0	36.064	0.035	0.963	0.002
A272	35.63	70.0	NaN	0.019	0.122	0.859
A441-5	53.5	67.5	35.008	0.005	0.531	0.464
A554	38.5	66.0	33.41775	0.019	0.979	0.002
A556	28.0	65.0	31.929	0.004	0.994	0.002
A6	109.5	80.5	31.5175	0.003	0.03	0.967
A619	36.0	61.0	40.63	0.009	0.99	0.001
A632	60.0	61.0	35.953	0.993	0.004	0.003
A634	54.0	59.0	35.601	0.897	0.1	0.003
A635	37.0	64.0	35.3005	0.825	0.171	0.004
A641	54.5	66.0	33.727	0.517	0.481	0.002
A654	39.0	64.0	NaN	0.083	0.915	0.002
A659	46.5	58.5	38.84617	0.006	0.991	0.003
A661	51.5	59.0	39.323	0.111	0.852	0.037
A679	65.0	66.0	42.471	0.862	0.127	0.011
A680	68.0	65.5	41.152	0.993	0.004	0.003
A682	47.0	57.5	35.928	0.002	0.997	0.001
AB28A	73.5	78.0	32.504	0.002	0.776	0.222
B10	74.0	69.0	36.561	0.429	0.57	0.001
B103	37.0	57.5	NaN	0.163	0.829	0.008
B104	56.25	64.5	44.773	0.694	0.305	0.001
B105	67.5	68.0	39.857	0.397	0.566	0.037
B109	67.0	64.0	38.951	0.995	0.003	0.002
B115	68.0	65.5	37.05975	0.061	0.847	0.092
B14A	57.0	63.5	38.067	0.998	0.001	0.001
B164	66.0	58.0	35.562	0.233	0.756	0.011
B2	39.5	70.0	NaN	0.007	0.988	0.005
B37	72.5	65.5	36.4475	0.997	0.002	0.001
B46	42.0	69.0	40.699	0.214	0.784	0.002
B52	72.5	70.0	NaN	0.012	0.985	0.003
B57	41.0	65.0	37.87475	0.002	0.996	0.002
B64	74.5	68.5	37.221	0.988	0.002	0.01
B68	65.0	71.5	38.889	0.998	0.001	0.001
B73	83.25	70.0	41.633	0.999	0.001	1.1E-16
B73HTRHM	73.0	67.0	42.956	0.999	0.001	1.1E-16
B75	56.0	62.0	38.2075	0.005	0.993	0.002
B76	53.0	61.5	35.33575	0.912	0.087	0.001
B77	50.0	65.0	39.028	0.083	0.915	0.002
B79	66.5	66.5	41.61	0.305	0.693	0.002
B84	72.0	67.5	37.622	0.996	0.003	0.001
B97	53.0	60.5	37.665	0.016	0.981	0.003
C103	52.5	66.5	34.91575	0.002	0.997	0.001
C123	32.0	62.5	NaN	0.047	0.952	0.001
C49	22.0	55.5	32.93267	0.143	0.841	0.016
C49A	22.5	57.0	28.544	0.127	0.869	0.004
CH701-30	61.0	60.0	33.5835	0.004	0.993	0.003
CH9	41.5	67.5	38.90333	0.003	0.992	0.005
CI187-2	62.63	70.5	34.085	0.006	0.992	0.002
CI21E	64.0	68.0	40.991	0.119	0.866	0.015
CI28A	72.5	66.5	37.328	0.004	0.749	0.247
CI31A	74.0	73.0	NaN	0.002	0.994	0.004
CI3A	66.5	70.0	44.051	0.083	0.905	0.012
CI44	57.0	73.0	40.172	0.011	0.988	0.001
CI64	64.5	70.5	41.403	0.012	0.986	0.002
CI66	47.0	75.0	32.5045	0.011	0.935	0.054
CI7	84.67	68.5	37.889	0.004	0.994	0.002
CI90C	63.5	67.5	33.92475	0.003	0.737	0.26
CI91B	49.0	66.5	35.53867	0.002	0.997	0.001
CM105	31.5	65.5	36.218	0.995	0.004	0.001
CM174	34.5	64.0	32.9705	0.997	0.002	0.001
CM37	24.0	57.5	25.74375	0.013	0.969	0.018
CM7	28.0	61.5	31.667	0.059	0.939	0.002
CML10	110.0	77.0	33.33867	0.002	0.002	0.996
CML103	88.5	69.0	42.029	0.003	0.005	0.992
CML108	55.5	71.5	40.739	0.002	0.099	0.899
CML11	97.25	80.5	33.48683	0.003	0.002	0.995
CML14	80.0	82.0	30.863	0.001	0.001	0.998
CML154Q	61.0	72.5	42.933	0.002	0.005	0.993
CML157Q	111.5	71.5	40.303	0.004	0.018	0.978
CML158Q	74.0	74.5	41.6995	0.01	0.018	0.972
CML218	62.0	69.0	35.57	0.01	0.301	0.689
CML220	44.0	63.5	40.216	0.059	0.053	0.888
CML228	74.0	72.5	31.339	0.003	0.002	0.995
CML238	57.5	74.0	42.477	0.001	0.004	0.995
CML247	68.5	78.0	37.79683	0.003	0.006	0.991
CML254	70.0	NaN	NaN	0.001	0.006	0.993
CML258	133.0	81.0	37.02083	0.001	0.002	0.997
CML261	104.17	77.0	37.46267	0.016	0.004	0.98
CML264	60.5	82.0	NaN	0.002	0.001	0.997
CML277	82.5	75.0	39.036	0.001	0.004	0.995
CML281	73.5	81.0	NaN	0.023	0.046	0.931
CML287	95.0	75.0	37.24	0.004	0.022	0.974
CML311	89.25	NaN	NaN	0.004	0.114	0.882
CML314	81.5	69.0	38.929	0.003	0.002	0.995
CML321	82.0	79.5	39.339	0.027	0.008	0.965
CML322	66.75	68.0	40.0235	0.01	0.005	0.985
CML323	63.0	70.5	39.081	0.007	0.34	0.653
CML328	74.5	65.0	34.876	0.002	0.357	0.641
CML331	59.0	77.0	NaN	0.002	0.003	0.995
CML332	66.5	70.5	37.182	0.002	0.003	0.995
CML333	97.5	69.0	36.581	0.013	0.029	0.958
CML341	94.63	73.0	42.116	0.002	0.004	0.994
CML349	55.25	68.5	NaN	0.006	0.165	0.829
CML38	82.5	75.5	32.36083	0.001	0.002	0.997
CML45	45.0	82.5	NaN	0.001	0.002	0.997
CML5	94.25	78.0	NaN	0.001	0.034	0.965
CML52	104.33	81.0	32.69017	0.002	0.01	0.988
CML69	76.0	73.5	37.723	0.006	0.028	0.966
CML77	63.0	68.5	43.716	0.005	0.302	0.693
CML91	64.5	69.5	39.435	0.015	0.218	0.767
CML92	68.0	71.5	40.503	0.096	0.275	0.629
CMV3	32.5	59.5	NaN	0.147	0.847	0.006
CO106	34.5	55.0	NaN	0.016	0.973	0.011
CO109	26.5	61.5	NaN	0.013	0.928	0.059
CO125	32.13	60.0	31.788	0.021	0.967	0.012
CO255	38.0	61.5	32.06183	0.009	0.647	0.344
D940Y	74.0	71.5	34.624	0.004	0.614	0.382
DE1	64.5	69.0	44.774	0.018	0.98	0.002
DE2	57.5	65.5	46.353	0.02	0.979	0.001
DE3	70.0	65.0	44.496	0.24	0.734	0.026
DE811	80.0	72.5	35.45125	0.779	0.218	0.003
E2558W	59.5	67.5	37.38	0.006	0.923	0.071
EP1	37.08	62.0	NaN	0.001	0.461	0.538
F2	34.0	63.5	27.147	0.002	0.534	0.464
F2834T	40.0	62.0	33.28333	0.026	0.421	0.553
F44	94.0	75.0	36.49875	0.01	0.62	0.37
F6	101.5	77.0	NaN	0.005	0.745	0.25
F7	27.5	58.0	27.689	0.07	0.608	0.322
GA209	76.33	74.5	34.958	0.004	0.979	0.017
GT112	136.0	78.5	NaN	0.008	0.839	0.153
H100	56.0	64.5	41.0735	0.969	0.029	0.002
H105W	44.5	61.5	40.51	0.753	0.209	0.038
H49	58.0	61.5	39.416	0.002	0.995	0.003
H84	48.0	64.0	41.838	0.714	0.281	0.005
H91	60.0	64.5	39.201	0.997	0.002	0.001
H95	55.0	65.5	38.834	0.001	0.898	0.101
H99	31.0	68.5	34.677	0.001	0.997	0.002
HI27	93.5	71.0	35.425	0.207	0.019	0.774
HY	56.5	64.5	34.823	0.079	0.898	0.023
I137TN	56.5	69.0	NaN	0.002	0.539	0.459
I205	55.0	66.0	NaN	0.23	0.767	0.003
K148	42.0	65.5	33.984	0.087	0.886	0.027
K4	70.0	69.0	36.81433	0.11	0.873	0.017
K55	43.0	67.5	39.8425	0.01	0.98	0.01
K64	69.25	67.5	42.828	0.033	0.965	0.002
KI11	63.0	74.5	40.465	0.003	0.017	0.98
KI14	95.5	78.0	29.192	0.003	0.003	0.994
KI2007	61.0	67.5	37.622	0.001	0.018	0.981
KI2021	107.0	75.0	40.14633	0.005	0.002	0.993
KI21	87.5	70.5	40.063	0.004	0.005	0.991
KI3	57.75	72.0	34.7015	0.001	0.393	0.606
KI43	59.0	76.0	30.326	0.001	0.002	0.997
KI44	55.0	71.0	33.19267	0.029	0.048	0.923
KY21	76.5	70.5	38.93467	0.008	0.859	0.133
KY226	64.0	72.5	37.37125	0.011	0.732	0.257
KY228	58.38	75.5	NaN	0.134	0.709	0.157
L317	98.0	65.5	34.72825	0.001	0.99	0.009
L578	101.5	72.5	39.627	0.007	0.297	0.696
M14	35.0	59.5	35.6355	0.012	0.849	0.139
M162W	63.5	74.5	40.095	0.002	0.996	0.002
M37W	62.88	70.0	38.801	0.012	0.404	0.584
MEF156-55-2	62.5	NaN	NaN	0.007	0.854	0.139
MO17	46.0	59.5	33.672	0.001	0.998	0.001
MO18W	65.5	70.5	39.596	0.011	0.307	0.682
MO1W	62.0	65.0	42.972	0.004	0.828	0.168
MO24W	101.5	67.5	45.51175	0.108	0.727	0.165
MO44	46.0	57.5	38.022	0.002	0.996	0.002
MO45	74.33	65.5	35.389	0.252	0.516	0.232
MO46	54.5	65.0	39.526	0.152	0.838	0.01
MO47	36.5	59.0	35.91767	0.18	0.624	0.196
MOG	87.88	65.0	42.585	0.002	0.996	0.002
MP339	71.5	71.5	38.333	0.102	0.641	0.257
MS1334	54.5	66.0	30.83556	0.002	0.884	0.114
MS153	55.0	59.0	42.406	0.063	0.865	0.072
MS71	47.5	57.0	35.358	0.002	0.997	0.001
MT42	44.5	59.0	29.971	0.004	0.765	0.231
N192	42.5	57.5	40.355	0.998	0.001	0.001
