<Covariate>
<Trait>	Q1	Q2	Q3	
33-16	0.014	0.972	0.014
38-11	0.003	0.993	0.004
4226	0.071	0.917	0.012
4722	0.035	0.854	0.111
A188	0.013	0.982	0.005
A214N	0.762	0.017	0.221
A239	0.035	0.963	0.002
A272	0.019	0.122	0.859
A441-5	0.005	0.531	0.464
A554	0.019	0.979	0.002
A556	0.004	0.994	0.002
A6	0.003	0.03	0.967
A619	0.009	0.99	0.001
A632	0.993	0.004	0.003
A634	0.897	0.1	0.003
A635	0.825	0.171	0.004
A641	0.517	0.481	0.002
A654	0.083	0.915	0.002
A659	0.006	0.991	0.003
A661	0.111	0.852	0.037
A679	0.862	0.127	0.011
A680	0.993	0.004	0.003
A682	0.002	0.997	0.001
AB28A	0.002	0.776	0.222
B10	0.429	0.57	0.001
B103	0.163	0.829	0.008
B104	0.694	0.305	0.001
B105	0.397	0.566	0.037
B109	0.995	0.003	0.002
B115	0.061	0.847	0.092
B14A	0.998	0.001	0.001
B164	0.233	0.756	0.011
B2	0.007	0.988	0.005
B37	0.997	0.002	0.001
B46	0.214	0.784	0.002
B52	0.012	0.985	0.003
B57	0.002	0.996	0.002
B64	0.988	0.002	0.01
B68	0.998	0.001	0.001
B73	0.999	0.001	1.10E-16
B73HTRHM	0.999	0.001	1.10E-16
B75	0.005	0.993	0.002
B76	0.912	0.087	0.001
B77	0.083	0.915	0.002
B79	0.305	0.693	0.002
B84	0.996	0.003	0.001
B97	0.016	0.981	0.003
C103	0.002	0.997	0.001
C123	0.047	0.952	0.001
C49	0.143	0.841	0.016
C49A	0.127	0.869	0.004
CH701-30	0.004	0.993	0.003
CH9	0.003	0.992	0.005
CI7	0.004	0.994	0.002
CI187-2	0.006	0.992	0.002
CI21E	0.119	0.866	0.015
CI28A	0.004	0.749	0.247
CI31A	0.002	0.994	0.004
CI3A	0.083	0.905	0.012
CI44	0.011	0.988	0.001
CI64	0.012	0.986	0.002
CI66	0.011	0.935	0.054
CI90C	0.003	0.737	0.26
CI91B	0.002	0.997	0.001
CM105	0.995	0.004	0.001
CM174	0.997	0.002	0.001
CM37	0.013	0.969	0.018
CM7	0.059	0.939	0.002
CML10	0.002	0.002	0.996
CML103	0.003	0.005	0.992
CML108	0.002	0.099	0.899
CML11	0.003	0.002	0.995
CML14	0.001	0.001	0.998
CML154Q	0.002	0.005	0.993
CML157Q	0.004	0.018	0.978
CML158Q	0.01	0.018	0.972
CML218	0.01	0.301	0.689
CML220	0.059	0.053	0.888
CML228	0.003	0.002	0.995
CML238	0.001	0.004	0.995
CML247	0.003	0.006	0.991
CML254	0.001	0.006	0.993
CML258	0.001	0.002	0.997
CML261	0.016	0.004	0.98
CML264	0.002	0.001	0.997
CML277	0.001	0.004	0.995
CML281	0.023	0.046	0.931
CML287	0.004	0.022	0.974
CML311	0.004	0.114	0.882
CML314	0.003	0.002	0.995
CML321	0.027	0.008	0.965
CML322	0.01	0.005	0.985
CML323	0.007	0.34	0.653
CML328	0.002	0.357	0.641
CML331	0.002	0.003	0.995
CML332	0.002	0.003	0.995
CML333	0.013	0.029	0.958
CML341	0.002	0.004	0.994
CML349	0.006	0.165	0.829
CML38	0.001	0.002	0.997
CML45	0.001	0.002	0.997
CML5	0.001	0.034	0.965
CML52	0.002	0.01	0.988
CML61	0.002	0.004	0.994
CML69	0.006	0.028	0.966
CML77	0.005	0.302	0.693
CML9	0.014	0.001	0.985
CML91	0.015	0.218	0.767
CML92	0.096	0.275	0.629
CMV3	0.147	0.847	0.006
CO106	0.016	0.973	0.011
CO109	0.013	0.928	0.059
CO125	0.021	0.967	0.012
CO255	0.009	0.647	0.344
D940Y	0.004	0.614	0.382
DE1	0.018	0.98	0.002
DE2	0.02	0.979	0.001
DE3	0.24	0.734	0.026
DE811	0.779	0.218	0.003
E2558W	0.006	0.923	0.071
EP1	0.001	0.461	0.538
F2	0.002	0.534	0.464
F2834T	0.026	0.421	0.553
F44	0.01	0.62	0.37
F6	0.005	0.745	0.25
F7	0.07	0.608	0.322
GA209	0.004	0.979	0.017
GT112	0.008	0.839	0.153
H100	0.969	0.029	0.002
H105W	0.753	0.209	0.038
H49	0.002	0.995	0.003
H84	0.714	0.281	0.005
H91	0.997	0.002	0.001
H95	0.001	0.898	0.101
H99	0.001	0.997	0.002
HI27	0.207	0.019	0.774
HY	0.079	0.898	0.023
I137TN	0.002	0.539	0.459
I205	0.23	0.767	0.003
K148	0.087	0.886	0.027
K4	0.11	0.873	0.017
K55	0.01	0.98	0.01
K64	0.033	0.965	0.002
KI11	0.003	0.017	0.98
KI14	0.003	0.003	0.994
KI2021	0.005	0.002	0.993
KI21	0.004	0.005	0.991
KI3	0.001	0.393	0.606
KI43	0.001	0.002	0.997
KI44	0.029	0.048	0.923
KI2007	0.001	0.018	0.981
KY21	0.008	0.859	0.133
KY226	0.011	0.732	0.257
