"Function","File"
".dataSetToListOfRObjects","PluginSupport"
".onAttach","zzz"
".onLoad","zzz"
"annotate_gwasRes_byNearest","GWASVisAnnotFuncs"
"assocModelDesign","PluginSupport"
"combineTasselGenotypePhenotype","GenotypePhenotypeFunctions"
"convert.snp","GWASVisAnnotFuncs"
"convertHaplotypesDataVectorsToDataFrame","PHGFunctions"
"convertRefRangeVectorsToDataFrame","PHGFunctions"
"convertTableReportToDataFrame","TableReportFunctions"
"creatDataFrameFromPhenotype","PhenotypeFunctions"
"createTasselDataSet","PluginSupport"
"createTasselPhenotypeFromDataFrame","PhenotypeFunctions"
"emptyDFWithPhenotype","PhenotypeFunctions"
"extractPhenotypeAttDf","PhenotypeFunctions"
"filterSiteBuilderPlugin","TasselPluginWrappers"
"filterTaxaBuilderPlugin","TasselPluginWrappers"
"fixedEffectLMPlugin","TasselPluginWrappers"
"genomicRanges","PositionListFunctions"
"getGenotypePhenotype","GenotypePhenotypeFunctions"
"getGenotypeTable","GenotypeTableFunctions"
"getPhenotypeTable","PhenotypeFunctions"
"getPositionList","PositionListFunctions"
"getTaxaList","TaxaListFunctions"
"gffToAnnotationGR","GWASVisAnnotFuncs"
"GWASpolyGenoFromSummarizedExperiment","GenotypeTableFunctions"
"GWASpolyGenoFromSummarizedExperiment","GWASVisAnnotFuncs"
"gwasPolyToDF","GWASVisAnnotFuncs"
"kinshipPlugin","TasselPluginWrappers"
"manhattan_annot_plot","GWASVisAnnotFuncs"
"manhattan_trait_plot","GWASVisAnnotFuncs"
"qqPlot_multi_trait","GWASVisAnnotFuncs"
"readGenotypePhenotype","GenotypePhenotypeFunctions"
"readGenotypeTable","GenotypeTableFunctions"
"readPhenotypeTable","PhenotypeFunctions"
"rObjToTasselObj","TableReportFunctions"
"sampleDataFrame","TaxaListFunctions"
"sampleVectorFromTassel","TaxaListFunctions"
"se_createGWASpolyObject","gwasPolyObjectCreator"
"se_createGWASpolyObject","GWASVisAnnotFuncs"
"settingPhenotypeAttr","PluginSupport"
"snpMatrixFromGenotypeTable","GenotypeTableFunctions"
"summarizeExperimentFromGenotypeTable","GenotypeTableFunctions"
"tasselGWASPluginResToSingleDF","GWASVisAnnotFuncs"
"tasselObjToRWrapper","TableReportFunctions"
"tasselTypeMap","PluginSupport"
